Stn_No,Lat,Long
54621,38.11,115.11
54622,38.59,117.22
54623,39.0,117.43
54624,38.22,117.21
54626,38.25,115.49
54627,38.02,117.14
54628,38.09,117.29
54631,37.04,115.09
54632,37.04,115.02
54633,37.31,115.14
54636,38.59,116.06
54640,36.55,114.52
54644,38.03,117.05
54645,38.5,117.3
54646,38.27,118.25
54660,38.49,121.14
54662,38.54,121.38
54700,38.02,115.59
54701,37.56,115.12
54702,37.44,115.42
54703,37.48,115.53
54704,37.33,115.34
54705,37.22,115.23
54706,37.04,115.39
54707,37.21,115.59
54708,37.31,115.43
54710,37.52,116.1
54711,37.41,116.18
54712,37.11,116.52
54713,37.53,116.32
54714,37.26,116.19
54715,37.2,116.34
54716,37.39,116.48
54717,37.38,116.24
54718,37.09,116.26
54719,38.02,116.41
54722,37.45,117.37
54725,37.3,117.31
54726,37.43,117.11
54727,36.43,117.33
54729,37.1,117.47
54730,37.41,118.07
54732,37.53,118.32
54734,37.22,118.01
54736,37.26,118.4
54737,37.09,118.08
54738,37.03,118.21
54744,37.36,118.32
54749,37.11,119.56
54751,37.56,120.43
54752,37.48,120.46
54753,37.37,120.19
54759,37.18,120.49
54764,37.3,121.15
54774,37.28,122.08
54776,37.24,122.41
54777,37.11,122.02
54778,37.1,122.23
54800,36.59,115.15
54801,36.51,115.29
54802,36.51,115.43
54804,36.18,115.09
54805,36.29,115.27
54806,36.25,115.57
54807,36.08,115.48
54808,36.02,115.35
54809,36.33,115.17
54810,36.52,116.16
54811,36.56,116.38
54814,36.35,116.13
54815,36.21,116.14
54817,35.59,115.52
54818,36.17,116.26
54819,36.11,116.47
54820,36.49,115.1
54821,36.59,117.07
54822,36.54,117.44
54823,36.41,116.59
54825,36.31,117.5
54826,36.15,117.06
54827,36.1,117.09
54828,36.15,117.39
54830,36.5,118.0
54831,36.42,118.28
54832,36.53,118.43
54835,36.3,118.33
54836,36.11,118.09
54842,36.46,119.56
54843,36.45,119.11
54844,36.25,119.1
54846,36.23,119.43
54848,35.59,119.25
54849,36.16,120.0
54851,36.52,120.29
54852,36.58,120.44
54855,36.23,120.28
54857,36.04,120.2
54861,36.54,121.29
54863,36.46,121.1
54871,36.52,122.26
54900,35.42,115.01
54901,36.04,115.11
54902,35.54,115.07
54903,35.55,115.29
54905,35.36,115.55
54906,35.15,115.26
54907,34.59,116.39
54908,35.17,115.05
54910,35.48,116.05
54911,35.56,116.27
54912,35.43,116.29
54913,35.45,116.48
54914,35.25,116.06
54915,35.26,116.35
54916,35.34,116.51
54917,35.06,116.18
54918,35.36,116.59
54919,35.25,117.0
54920,35.39,117.16
54921,35.27,116.26
54922,35.54,117.44
54923,35.43,117.55
54925,35.3,117.37
54927,35.07,117.08
54929,35.15,117.57
54932,35.48,118.4
54935,35.32,118.28
54936,35.35,118.5
54938,35.03,118.21
54939,35.15,118.5
54940,35.45,119.12
54943,35.53,120.0
54945,35.23,119.32
55228,32.3,80.05
55248,32.09,84.25
55279,31.23,90.01
55294,32.21,91.06
55299,31.29,92.04
55437,30.17,81.15
55472,30.57,88.38
55493,30.29,91.06
55569,29.05,87.36
55572,29.41,89.06
55578,29.15,88.53
55585,29.26,90.1
55589,29.18,90.59
55591,29.4,91.08
55593,29.51,91.44
55598,29.15,91.46
55655,28.11,85.58
55664,28.38,87.05
55680,28.55,89.36
55681,28.58,90.24
55690,27.59,91.57
55696,28.25,92.28
55773,27.44,89.05
56004,34.13,92.26
56016,33.51,95.36
56018,32.54,95.18
56021,34.08,95.47
56029,33.01,97.01
56033,34.55,98.13
56034,33.48,97.08
56038,32.59,98.06
56041,34.16,99.12
56043,34.28,100.15
56045,33.58,99.54
56046,33.45,99.39
56065,34.44,101.36
56067,33.26,101.29
56071,34.35,102.3
56074,34.0,102.05
56079,33.35,102.58
56080,35.0,102.54
56081,34.42,103.21
56082,34.35,103.3
56084,34.04,103.13
56091,34.51,104.27
56092,35.0,104.39
56093,34.26,104.01
56094,33.47,104.22
56095,34.02,104.23
56096,33.24,104.55
56097,33.16,104.14
56106,31.53,93.47
56109,31.29,93.47
56116,31.25,95.36
56125,32.12,96.29
56128,31.13,96.36
56137,31.09,97.1
56144,31.44,98.34
56146,31.37,100.0
56147,31.13,98.5
56151,32.56,100.45
56152,32.17,100.2
56158,31.24,100.4
56164,32.16,100.59
56167,30.59,101.07
56168,31.29,102.04
56171,32.54,101.42
56172,31.54,102.14
56173,32.48,102.33
56178,31.0,102.21
56180,31.41,103.51
56181,30.38,103.4
56182,32.39,103.34
56183,31.28,103.35
56184,31.26,103.1
56185,32.05,102.59
56186,31.2,104.12
56187,30.42,103.5
56188,30.59,103.4
56189,30.59,103.56
56190,31.39,104.25
56192,32.57,104.4
56193,32.25,104.31
56194,31.5,104.28
56195,31.47,104.44
56196,31.28,104.41
56197,31.08,104.11
56198,31.09,104.23
56199,31.02,104.41
56202,30.4,93.17
56223,30.45,95.5
56227,29.52,95.46
56228,30.03,96.55
56247,30.0,99.06
56251,30.56,100.19
56257,30.0,100.16
56263,30.53,101.53
56267,30.02,101.01
56272,30.49,103.53
56273,30.23,102.49
56276,30.26,103.48
56278,30.04,102.46
56279,30.09,102.56
56280,30.05,103.07
56281,30.12,103.31
56284,30.25,103.29
56285,30.36,103.31
56286,30.33,104.15
56287,29.59,103.0
56288,30.35,103.55
56289,30.12,103.52
56290,30.5,104.09
56291,30.58,104.17
56294,30.4,104.01
56295,30.23,104.33
56296,30.51,104.26
56297,30.01,104.09
56298,30.07,104.39
56307,29.09,92.35
56312,29.4,94.2
56317,29.13,94.13
56331,29.4,97.5
56342,29.41,98.36
56357,29.03,100.18
56371,29.55,102.14
56373,29.47,102.51
